文案 （蚂蚁财富,上海创凌翻译服务有限公司,5000.0
应届毕业生（销售）,上海中撼市场营销策划有限公司,4500.0
行政前台,上海硕美广告有限公司,3000.0
销售助理,上海艺闪数字科技有限公司,5000.0
大客户经理,上海千守营销策划有限公司,4500.0
品牌陈列师,上海新云传媒股份有限公司,3500.0
项目执行/项目助理,上海绿数网络科技有限公司,4500.0
产品研发助理,北京众览无限传媒广告有限公司上海...,4000.0
项目助理,上海麓溢广告传媒有限公司,6000.0
运营专员(内容运营中心）,上海骏腾广告有限公司,7000.0
行政助理/文员,北京绮丽景睿营销策划有限公司,4500.0
市场渠道专员（挑战高薪）,上海臻展文化发展有限公司,4400.0
经纪人助理（外勤）,上海盛事会展服务有限公司,3000.0
展览设计师,深圳新房网络科技有限公司,4000.0
早教中心课程顾问/顾问/销售顾问/销售/亲子游泳,上海可的广告有限公司,3000.0
钢琴/吉它/古筝/小提琴老师,上海矜能培训学校有限公司,8000.0
KA销售代表,上海英模文化发展有限公司,3500.0
连锁舞蹈教室课程顾问嘉定宝龙广场店,上海谊佳企业形象策划有限公司,5000.0
公司助理,上海童游文化传播有限公司,8000.0
数据处理人员(上海),上海慕言文化传播有限公司,6000.0
应收专员 AR accountant,新锐营（上海）企业发展有限公司,6000.0
储备工程师,明翼舞蹈（美舞（上海）文化传播有...,4000.0
校区助理 教务老师 （长宁校）,上海萌萌兔文化传播有限公司,4500.0
前厅服务员/店员,伺动营销科技(上海)有限公司,6666.666666666666
售后客服,英富曼企业管理（上海）有限公司,4500.0
广告文案,上海赛野展览展示有限公司,3000.0
文案策划,小主人企业管理（上海）有限公司,6000.0
售后服务/技术支持/售前咨询（带薪年假）,上海飞腾文化传播有限公司,3500.0
前台接待/总机/接待生,大星（上海）文化传媒有限公司,5000.0
制片助理,上海和声广告有限公司,3000.0
行政专员兼前台,上海倍士图数码图文有限公司,8000.0
行政专员/助理/前台,北京鸿特卓博咨询服务有限公司,5000.0
三维模型师,上海丝芭文化传媒有限公司,4500.0
前台/行政助理,公司名,0
客户专员/市场拓展专员/销售专员,上海贝思诺广告有限公司,4500.0
摄影助理,春律互联网金融信息服务（上海）有...,4500.0
平面设计师助理,上海景桥文化传播有限公司,4500.0
行政助理(工作地点：静安区）,上海安鲁展览展示有限公司,4000.0
漫画编剧/漫画编辑,上海笔克联动市场策划咨询有限公司,2000.0
前台文秘,上海申慕企业形象策划有限公司,4000.0
销售经理/主管/业务员,路玲（上海）文化传播有限公司,4000.0
电梯广告监测员/广告上画员,精亚平面设计（上海）有限公司,3000.0
幼教,上海隆缔文化传媒有限公司,3800.0
文案,上海天幕星映文化传媒有限公司,4000.0
前台行政兼试衣模特,上海墨点广告设计有限公司,4500.0
财务助理,中投视讯文化传媒（上海）有限公司,4000.0
业务助理,捷众广告（上海）股份有限公司,3500.0
电话销售,上海脑立方文化传播有限公司,4000.0
管培生（客户执行/AE）,堂皇机构·地壹行,4500.0
内贸销售/网络销售,上海麦隆文化传播有限公司,11000.0
动漫展会销售,上海锦辉艺术传播股份有限公司,4500.0
出纳员,上海大诚印刷有限公司,4500.0
销售代表,上海亚东会展服务有限公司,3000.0
虚幻UE4技术（VR）,上海博望广告有限公司,5000.0
Digital Buyer,酷景传媒（上海）有限公司,3000.0
平面设计师/设计师助理,上海漫人文化传播有限公司,6000.0
网络主播（提供住宿）,上海尚岳广告有限公司,4000.0
销售助理,中菲联合投资有限公司,4500.0
iOS开发工程师,实野信息科技（上海）有限公司,2500.0
行政助理兼前台,北京恒美广告有限公司上海分公司,4500.0
前台,上海宜德展览服务有限公司,3000.0
培训助理,鼎亿时代（天津）,5000.0
印前完稿,上海明阔电子科技有限公司,4000.0
灵思上海——出纳,百视通网络电视技术发展有限责任公司,10000.0
销售工程师,汉诺威米兰展览（上海）有限公司,4800.0
网络采购专员,上海源品文化传媒有限公司,4500.0
人事行政助理,上海嘉捷广告有限公司,6000.0
Brand Naming Intern,上海颐阳广告有限公司,6000.0
销售助理,灵思云途营销顾问股份有限公司,5000.0
人事行政专员,上海阜康文化传播有限公司,4000.0
活动执行专员,上海宽创国际文化创意有限公司,6000.0
品牌内容营销专员,上海雨吉文化传媒股份有限公司,4500.0
专职摄像师,上海朗标企业管理咨询有限公司,2200.0
销售专员,上海鼎世展览展示有限公司,4500.0
市场推广专员,上海金玛银来企业发展有限公司,4500.0
设计师,上海乐拜网络科技有限公司,4500.0
项目助理,上海汉跃广告有限公司,3000.0
平面设计师,上海维戈文化传媒有限公司,8000.0
海外会议销售,上海索涵智能科技有限公司,4500.0
项目助理,上海捷信医药科技股份有限公司,7000.0
平面设计师,上海华扬睿世创意发展有限公司,5000.0
海外会议销售,普乐师（上海）数字科技股份有限公司,4000.0
产品推广/产品助理/产品运营/产品策划专员,上海蓝色回响广告有限公司,4000.0
SEM专员,上海英致商务咨询有限公司,4500.0
行政助理,公司名,0
